cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank
C0	domain	Musculoskeletal	True	93	36.97	5	0.458	17.48	0.699	0.7569	0.000499750124937531	1.462	0.0718753886087868	0.1264	0.0876	0.1648	0.979	0.1257	0.123	1.208	0.435785417235174	0.00999500249875062	1
C0	domain	Psychiatric	True	51	17.22	8	0.629	11.2	0.6335	0.7054	0.00199900049975013	0.944	0.172649644547846	0.1364	0.0891	0.183	0.98	0.1394	0.1367	4.967	0.00123100040424998	0.0199900049975012	2
C0	domain	Medication-use	True	7	5	1	0.378	2.51	0.6486	0.6199	0.0864567716141929	0.853	0.196721278278089	0.0688	0.0203	0.117	0.84	0.1192	0.1001	3.525	0.283516602605182	0.345827086456772	3
C0	domain	Respiratory	True	51	20.07	3	0.484	10.24	0.5689	0.5491	0.0619690154922539	0.509	0.305309263322351	0.069	0.0283	0.1095	0.648	0.0998	0.0647	1.322	0.425792480589166	0.345827086456772	4
C0	domain	Genitourinary	True	50	21.94	2	0.34	8.12	0.5665	0.5639	0.0779610194902549	0.547	0.2921121335364	0.0795	0.038	0.1206	0.674	0.1082	0.0729	0.848	0.692193426277531	0.345827086456772	5
C0	domain	Ophthalmic	True	36	19.85	2	0.203	4.82	0.533	0.5712	0.237881059470265	0.303	0.381077666329163	0.0811	0.0425	0.1194	0.849	0.1072	0.091	1.229	0.507278600386825	0.594702648675662	6
C0	domain	Digestive	True	60	30.3	7	0.236	7.91	0.5124	0.5187	0.368315842078961	0.112	0.455495291860408	0.0649	0.0286	0.1009	0.627	0.1038	0.0651	3.296	0.014777902040486	0.818479649064357	7
C0	domain	Cardiovascular	True	55	20.75	0	0.343	7.77	0.4593	0.216	0.835582208895552	-0.358	0.639693533502448	-0.032	-0.0634	-5e-04	0.439	0.068	-0.0299	0	1	1	8
C0	domain	Endocrine-metabolic	True	28	14.36	0	0.281	4.76	0.4459	0.3932	0.829085457271364	-0.444	0.671341949089599	0.0137	-0.0234	0.0507	0.393	0.0726	0.0285	0	1	1	9
C0	domain	Neurological	True	31	17.47	0	0.261	5.29	0.4423	0.5462	0.853573213393304	-0.471	0.681176860639255	0.0716	0.0322	0.1108	0.926	0.0812	0.0752	0	1	1	10
C0	domain	Immune-blood	True	9	6	0	0.472	3.36	0.346	0.4743	0.942028985507246	-0.866	0.806648594259366	0.057	-0.0041	0.1176	0.864	0.0549	0.0474	0	1	1	11
C0	domain	Infectious	True	5	4	0	0.495	2.48	0.327	0.3747	0.903048475762119	-0.846	0.801245490116607	0.0319	-0.0483	0.1116	0.33	0.0559	0.0184	0	1	1	12
