cluster_label	auto_label	anchor_shape	anchor_margin	anchor_focus	n_sig_domains	top_auc	top_q	top_pooled_rg	top_coherence	profile	z_threshold	label_stable
C0	ambiguous	focal	0.07	1.9	2	0.69	0.0104947526236882	0.123	0.957	Musculoskeletal (AUC=0.69 q=1.0e-02 rg=0.12 coh=0.96 n=110); Psychiatric (AUC=0.62 q=1.0e-02 rg=0.13 coh=0.98 n=65); Genitourinary (AUC=0.59 q=7.7e-02 rg=0.08 coh=0.66 n=63); Respiratory (AUC=0.58 q=1.3e-01 rg=0.07 coh=0.63 n=56); Medication-use (AUC=0.60 q=5.4e-01 rg=0.07 coh=0.84 n=8); Digestive (AUC=0.51 q=1.0e+00 rg=0.06 coh=0.51 n=80); Ophthalmic (AUC=0.50 q=1.0e+00 rg=0.07 coh=0.84 n=50); Cardiovascular (AUC=0.49 q=1.0e+00 rg=-0.03 coh=0.47 n=60)	3	True
C1	Respiratory	focal	0.032	2.82	3	0.721	0.00349825087456272	0.281	1	Respiratory (AUC=0.72 q=3.5e-03 rg=0.28 coh=1.00 n=56); Musculoskeletal (AUC=0.69 q=3.5e-03 rg=0.28 coh=1.00 n=110); Psychiatric (AUC=0.62 q=5.2e-03 rg=0.25 coh=0.93 n=65); Medication-use (AUC=0.70 q=8.2e-02 rg=0.26 coh=0.73 n=8); Infectious (AUC=0.62 q=1.9e-01 rg=0.34 coh=0.98 n=13); Neurological (AUC=0.54 q=4.5e-01 rg=0.22 coh=0.85 n=39); Alcohol-substance (AUC=0.60 q=5.0e-01 rg=0.30 coh=1.00 n=5); Cardiovascular (AUC=0.53 q=5.0e-01 rg=0.18 coh=1.00 n=60)	3	False
C2_sub0	Respiratory	focal	0.051	1.97	2	0.717	0.00524737631184408	-0.278	1	Respiratory (AUC=0.72 q=5.2e-03 rg=-0.28 coh=1.00 n=56); Musculoskeletal (AUC=0.67 q=5.2e-03 rg=-0.27 coh=0.99 n=110); Psychiatric (AUC=0.59 q=5.8e-02 rg=-0.25 coh=0.91 n=65); Alcohol-substance (AUC=0.76 q=8.0e-02 rg=-0.40 coh=1.00 n=5); Medication-use (AUC=0.63 q=2.6e-01 rg=-0.28 coh=0.91 n=8); Infectious (AUC=0.60 q=2.6e-01 rg=-0.30 coh=0.94 n=13); Cardiovascular (AUC=0.55 q=2.6e-01 rg=-0.19 coh=1.00 n=60); Neurological (AUC=0.51 q=8.1e-01 rg=-0.21 coh=0.89 n=39)	3	False
C2_sub1	ambiguous	focal	0.015	2	2	0.672	0.00524737631184408	-0.221	0.983	Musculoskeletal (AUC=0.67 q=5.2e-03 rg=-0.22 coh=0.98 n=110); Respiratory (AUC=0.66 q=5.2e-03 rg=-0.20 coh=1.00 n=56); Medication-use (AUC=0.69 q=1.6e-01 rg=-0.21 coh=0.82 n=8); Digestive (AUC=0.55 q=1.7e-01 rg=-0.18 coh=0.92 n=80); Infectious (AUC=0.61 q=2.6e-01 rg=-0.26 coh=0.88 n=13); Reproductive-perinatal (AUC=0.56 q=2.7e-01 rg=-0.20 coh=0.94 n=41); Alcohol-substance (AUC=0.65 q=2.8e-01 rg=-0.23 coh=1.00 n=5); Cardiovascular (AUC=0.54 q=2.8e-01 rg=-0.16 coh=0.97 n=60)	3	True
C3	Alcohol-substance	focal	0.072	2.96	3	0.951	0.00262368815592204	0.366	1	Alcohol-substance (AUC=0.95 q=2.6e-03 rg=0.37 coh=1.00 n=5); Psychiatric (AUC=0.88 q=2.6e-03 rg=0.29 coh=0.99 n=65); Injury (AUC=0.84 q=2.6e-03 rg=0.18 coh=1.00 n=9); Respiratory (AUC=0.60 q=2.9e-02 rg=0.07 coh=0.83 n=56); Infectious (AUC=0.65 q=1.2e-01 rg=0.15 coh=1.00 n=13); Reproductive-perinatal (AUC=0.56 q=3.2e-01 rg=-0.04 coh=0.41 n=41); Digestive (AUC=0.51 q=1.0e+00 rg=0.05 coh=0.69 n=80); Dermatologic (AUC=0.48 q=1.0e+00 rg=0.06 coh=0.69 n=39)	3	True
C4	Psychiatric	sharp	0.106	1.92	2	0.812	0.00524737631184408	0.469	1	Psychiatric (AUC=0.81 q=5.2e-03 rg=0.47 coh=1.00 n=65); Respiratory (AUC=0.71 q=5.2e-03 rg=0.29 coh=1.00 n=56); Musculoskeletal (AUC=0.59 q=1.0e-02 rg=0.24 coh=0.99 n=110); Alcohol-substance (AUC=0.69 q=2.3e-01 rg=0.36 coh=1.00 n=5); Medication-use (AUC=0.64 q=2.3e-01 rg=0.27 coh=0.92 n=8); Infectious (AUC=0.60 q=2.3e-01 rg=0.33 coh=0.95 n=13); Neurological (AUC=0.57 q=2.3e-01 rg=0.29 coh=0.98 n=39); Digestive (AUC=0.53 q=5.3e-01 rg=0.21 coh=0.98 n=80)	3	True
C5_sub0	Cardiovascular	focal	0.061	3.72	4	0.75	0.00262368815592204	0.252	1	Cardiovascular (AUC=0.75 q=2.6e-03 rg=0.25 coh=1.00 n=60); Respiratory (AUC=0.69 q=2.6e-03 rg=0.22 coh=1.00 n=56); Musculoskeletal (AUC=0.69 q=2.6e-03 rg=0.23 coh=0.96 n=110); Endocrine-metabolic (AUC=0.61 q=4.5e-02 rg=0.21 coh=0.94 n=42); Medication-use (AUC=0.72 q=5.8e-02 rg=0.27 coh=0.89 n=8); Dermatologic (AUC=0.56 q=2.8e-01 rg=0.17 coh=0.91 n=39); Immune-blood (AUC=0.54 q=8.1e-01 rg=0.15 coh=1.00 n=9); Neurological (AUC=0.47 q=1.0e+00 rg=0.16 coh=0.83 n=39)	3	True
C5_sub1	Cardiovascular	sharp	0.106	3.71	4	0.762	0.00262368815592204	0.305	1	Cardiovascular (AUC=0.76 q=2.6e-03 rg=0.30 coh=1.00 n=60); Respiratory (AUC=0.66 q=2.6e-03 rg=0.22 coh=1.00 n=56); Musculoskeletal (AUC=0.65 q=2.6e-03 rg=0.23 coh=0.98 n=110); Endocrine-metabolic (AUC=0.64 q=8.4e-03 rg=0.28 coh=0.97 n=42); Medication-use (AUC=0.61 q=4.4e-01 rg=0.28 coh=0.98 n=8); Immune-blood (AUC=0.57 q=5.7e-01 rg=0.21 coh=1.00 n=9); Neurological (AUC=0.53 q=5.7e-01 rg=0.24 coh=0.94 n=39); Psychiatric (AUC=0.52 q=6.3e-01 rg=0.17 coh=0.90 n=65)	3	False
C6_sub0	Respiratory	sharp	0.102	1.9	2	0.78	0.00349825087456272	0.462	1	Respiratory (AUC=0.78 q=3.5e-03 rg=0.46 coh=1.00 n=56); Musculoskeletal (AUC=0.68 q=3.5e-03 rg=0.37 coh=1.00 n=110); Psychiatric (AUC=0.60 q=2.4e-02 rg=0.38 coh=0.99 n=65); Cardiovascular (AUC=0.60 q=3.1e-02 rg=0.30 coh=1.00 n=60); Medication-use (AUC=0.68 q=1.3e-01 rg=0.41 coh=0.92 n=8); Alcohol-substance (AUC=0.59 q=4.7e-01 rg=0.36 coh=1.00 n=5); Immune-blood (AUC=0.57 q=4.7e-01 rg=0.32 coh=1.00 n=9); Neurological (AUC=0.54 q=4.7e-01 rg=0.34 coh=0.97 n=39)	3	True
C6_sub1	Psychiatric	sharp	0.148	2.53	3	0.788	0.00349825087456272	0.403	0.998	Psychiatric (AUC=0.79 q=3.5e-03 rg=0.40 coh=1.00 n=65); Respiratory (AUC=0.64 q=3.5e-03 rg=0.22 coh=1.00 n=56); Musculoskeletal (AUC=0.61 q=7.9e-03 rg=0.19 coh=0.97 n=110); Alcohol-substance (AUC=0.77 q=5.9e-02 rg=0.34 coh=1.00 n=5); Digestive (AUC=0.56 q=1.4e-01 rg=0.18 coh=1.00 n=80); Genitourinary (AUC=0.54 q=4.5e-01 rg=0.19 coh=0.99 n=63); Medication-use (AUC=0.56 q=8.0e-01 rg=0.19 coh=0.97 n=8); Neurological (AUC=0.52 q=8.6e-01 rg=0.21 coh=0.98 n=39)	3	True
