cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank	z_threshold
C0	domain	Musculoskeletal	True	110	43.19	5	0.399	17.85	0.6901	0.7527	0.000499750124937531	1.515	0.0648592015250711	0.1234	0.0852	0.1611	0.957	0.1247	0.1193	1.413	0.323923649839356	0.0104947526236882	1	3
C0	domain	Psychiatric	True	65	25.49	8	0.561	14.75	0.6206	0.7098	0.000999500249875062	0.839	0.200621337936545	0.1349	0.0829	0.186	0.978	0.1376	0.1346	5.178	0.000899677144548695	0.0104947526236882	2	3
C0	domain	Genitourinary	True	63	30.69	1	0.287	9.52	0.5892	0.5861	0.0109945027486257	0.762	0.223024082276718	0.079	0.0361	0.1216	0.659	0.1149	0.0758	0.432	0.899614625155443	0.0769615192403798	3	3
C0	domain	Respiratory	True	56	21.4	3	0.472	10.63	0.5808	0.5661	0.0254872563718141	0.619	0.268070106371524	0.0681	0.0272	0.1088	0.627	0.0981	0.0615	1.663	0.301710057111636	0.133808095952024	4	3
C0	domain	Medication-use	True	8	6	1	0.28	2.4	0.5978	0.6078	0.179410294852574	0.615	0.269255527564957	0.0662	0.0198	0.1124	0.84	0.1049	0.0882	4.126	0.245184158637426	0.538230884557721	5	3
C0	domain	Digestive	True	80	40.62	7	0.19	8.51	0.5061	0.5043	0.43328335832084	0.061	0.475685380038176	0.0589	0.0237	0.094	0.512	0.1007	0.0516	3.284	0.0144478404567544	1	6	3
C0	domain	Ophthalmic	True	50	28.34	2	0.197	6.37	0.5029	0.5744	0.463268365817091	0.027	0.489204061699314	0.0716	0.0327	0.1103	0.838	0.0964	0.0808	1.183	0.523830255033579	1	7	3
C0	domain	Cardiovascular	True	60	23.97	0	0.343	8.87	0.4871	0.2391	0.627686156921539	-0.112	0.544493287712383	-0.0327	-0.066	6e-04	0.471	0.0704	-0.0332	0	1	1	8	3
C0	domain	Neurological	True	39	22.43	0	0.233	6	0.4647	0.5494	0.760619690154923	-0.304	0.619320444250378	0.0681	0.0276	0.1083	0.781	0.0849	0.0663	0	1	1	9	3
C0	domain	Endocrine-metabolic	True	42	20.48	0	0.252	5.9	0.4568	0.3765	0.83408295852074	-0.388	0.651031071288303	0.0087	-0.0292	0.0465	0.1	0.0793	0.0079	0	1	1	10	3
