cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank	z_threshold
C0	anthro_class	anthro	True	4	3	2	0	1	0.5625	0.375	0.448275862068966	0.289	0.386414996342224	-0.0086	-0.0707	0.0536	0.117	0.2734	-0.032	0.333	0.928571428571429	0.670664667666167	1	3
C0	anthro_class	cardio	True	4	4	3	0	1	0.4375	0.625	0.670664667666167	-0.289	0.613585003657776	0.079	0.0224	0.1351	0.349	0.2248	0.0784	3	0.5	0.670664667666167	2	3
C1	anthro_class	cardio	True	4	4	3	0	1	0.8125	0.5625	0.11344327836082	1.443	0.0744573365893828	0.0827	0.0216	0.1432	0.266	0.277	0.0736	3	0.5	0.226886556721639	1	3
C1	anthro_class	anthro	True	4	3	2	0	1	0.1875	0.4375	0.935532233883059	-1.443	0.925542663410617	0.0185	-0.0344	0.0713	0.248	0.1381	0.0342	0.333	0.928571428571429	0.935532233883059	2	3
C5_sub0	anthro_class	anthro	True	4	3	4	0	1	1	0.5	0.0129935032483758	2.309	0.010460667668897	0.0018	-0.085	0.0886	0.004	0.5965	-0.0024	Inf	0.5	0.0259870064967516	1	3
C5_sub0	anthro_class	cardio	True	4	4	3	0	1	0	0.5	1	-2.309	0.989539332331103	0.1321	0.0737	0.1897	0.443	0.2969	0.1314	0	1	1	2	3
C0	anthro_class	anthro	True	4	3	2	0	1	0.5625	0.375	0.448275862068966	0.289	0.386414996342224	-0.0086	-0.0707	0.0536	0.117	0.2734	-0.032	0.333	0.928571428571429	0.670664667666167	1	4
C0	anthro_class	cardio	True	4	4	3	0	1	0.4375	0.625	0.670664667666167	-0.289	0.613585003657776	0.079	0.0224	0.1351	0.349	0.2248	0.0784	3	0.5	0.670664667666167	2	4
C1	anthro_class	cardio	True	4	4	3	0	1	0.8125	0.5625	0.11344327836082	1.443	0.0744573365893828	0.0827	0.0216	0.1432	0.266	0.277	0.0736	3	0.5	0.226886556721639	1	4
C1	anthro_class	anthro	True	4	3	2	0	1	0.1875	0.4375	0.935532233883059	-1.443	0.925542663410617	0.0185	-0.0344	0.0713	0.248	0.1381	0.0342	0.333	0.928571428571429	0.935532233883059	2	4
C5_sub0	anthro_class	anthro	True	4	3	4	0	1	1	0.5	0.0129935032483758	2.309	0.010460667668897	0.0018	-0.085	0.0886	0.004	0.5965	-0.0024	Inf	0.5	0.0259870064967516	1	4
C5_sub0	anthro_class	cardio	True	4	4	3	0	1	0	0.5	1	-2.309	0.989539332331103	0.1321	0.0737	0.1897	0.443	0.2969	0.1314	0	1	1	2	4
C0	anthro_class	anthro	True	4	3	2	0	1	0.5625	0.375	0.448275862068966	0.289	0.386414996342224	-0.0086	-0.0707	0.0536	0.117	0.2734	-0.032	0.333	0.928571428571429	0.670664667666167	1	5
C0	anthro_class	cardio	True	4	4	3	0	1	0.4375	0.625	0.670664667666167	-0.289	0.613585003657776	0.079	0.0224	0.1351	0.349	0.2248	0.0784	3	0.5	0.670664667666167	2	5
C1	anthro_class	cardio	True	4	4	3	0	1	0.8125	0.5625	0.11344327836082	1.443	0.0744573365893828	0.0827	0.0216	0.1432	0.266	0.277	0.0736	3	0.5	0.226886556721639	1	5
C1	anthro_class	anthro	True	4	3	2	0	1	0.1875	0.4375	0.935532233883059	-1.443	0.925542663410617	0.0185	-0.0344	0.0713	0.248	0.1381	0.0342	0.333	0.928571428571429	0.935532233883059	2	5
C5_sub0	anthro_class	anthro	True	4	3	4	0	1	1	0.5	0.0129935032483758	2.309	0.010460667668897	0.0018	-0.085	0.0886	0.004	0.5965	-0.0024	Inf	0.5	0.0259870064967516	1	5
C5_sub0	anthro_class	cardio	True	4	4	3	0	1	0	0.5	1	-2.309	0.989539332331103	0.1321	0.0737	0.1897	0.443	0.2969	0.1314	0	1	1	2	5
